Model Producer Name, Model Producer Ver., Model Domain, Model Filename, Model Name
keras2onnx,1.6.5,onnx,models/imagenet_densenet201.onnx,densenet201
,,,,
op_type,operations_flops,operations_multiply_adds,operations_additions,operations_comparisons,operations_divisions,operations_exponentials,memory_activations,memory_parameters,memory_other_memory
Concat,0,0,0,0,0,0,1152000,0,0
BatchNormalization,0,0,288000,0,288000,0,1152000,10240,0
Relu,0,0,0,288000,0,0,1152000,0,0
Conv,73728000.0,36864000.0,0,0,0,0,115200,655360.0,0
BatchNormalization,0,0,28800,0,28800,0,115200,1024,0
Relu,0,0,0,28800,0,0,115200,0,0
Conv,16588800.0,8294400.0,0,0,0,0,28800,147456.0,0
Concat,0,0,0,0,0,0,1180800,0,0
BatchNormalization,0,0,295200,0,295200,0,1180800,10496,0
Relu,0,0,0,295200,0,0,1180800,0,0
Conv,75571200.0,37785600.0,0,0,0,0,115200,671744.0,0
BatchNormalization,0,0,28800,0,28800,0,115200,1024,0
Relu,0,0,0,28800,0,0,115200,0,0
Conv,16588800.0,8294400.0,0,0,0,0,28800,147456.0,0
Concat,0,0,0,0,0,0,1209600,0,0
BatchNormalization,0,0,302400,0,302400,0,1209600,10752,0
Relu,0,0,0,302400,0,0,1209600,0,0
Conv,77414400.0,38707200.0,0,0,0,0,115200,688128.0,0
BatchNormalization,0,0,28800,0,28800,0,115200,1024,0
Relu,0,0,0,28800,0,0,115200,0,0
Conv,16588800.0,8294400.0,0,0,0,0,28800,147456.0,0
Concat,0,0,0,0,0,0,1238400,0,0
BatchNormalization,0,0,309600,0,309600,0,1238400,11008,0
Relu,0,0,0,309600,0,0,1238400,0,0
Conv,79257600.0,39628800.0,0,0,0,0,115200,704512.0,0
BatchNormalization,0,0,28800,0,28800,0,115200,1024,0
Relu,0,0,0,28800,0,0,115200,0,0
Conv,16588800.0,8294400.0,0,0,0,0,28800,147456.0,0
Concat,0,0,0,0,0,0,1267200,0,0
BatchNormalization,0,0,316800,0,316800,0,1267200,11264,0
Relu,0,0,0,316800,0,0,1267200,0,0
Conv,81100800.0,40550400.0,0,0,0,0,115200,720896.0,0
BatchNormalization,0,0,28800,0,28800,0,115200,1024,0
Relu,0,0,0,28800,0,0,115200,0,0
Conv,16588800.0,8294400.0,0,0,0,0,28800,147456.0,0
Concat,0,0,0,0,0,0,1296000,0,0
BatchNormalization,0,0,324000,0,324000,0,1296000,11520,0
Relu,0,0,0,324000,0,0,1296000,0,0
Conv,82944000.0,41472000.0,0,0,0,0,115200,737280.0,0
BatchNormalization,0,0,28800,0,28800,0,115200,1024,0
Relu,0,0,0,28800,0,0,115200,0,0
Conv,16588800.0,8294400.0,0,0,0,0,28800,147456.0,0
Concat,0,0,0,0,0,0,1324800,0,0
BatchNormalization,0,0,331200,0,331200,0,1324800,11776,0
Relu,0,0,0,331200,0,0,1324800,0,0
